Country,Cowcode,Year,Independent Country?,Group Name,Group Proportion,Group Estimate,Outlier,Anchor
United States of America,2,1945,1,muslim,,0.1607686,0,0
United States of America,2,1945,1,protestant,,66.70261,0,0
United States of America,2,1945,1,other,,0.6035843,0,1
United States of America,2,1945,1,romancatholic,,23.89974,0,0
United States of America,2,1945,1,nonreligious,,1.948333,0,0
United States of America,2,1945,1,jewish,3.69,3.926519,0,0
United States of America,2,1945,1,orthodox,,2.758447,0,1
United States of America,2,1946,1,nonreligious,,2.018253,0,0
United States of America,2,1946,1,protestant,,66.48887,0,0
United States of America,2,1946,1,orthodox,,2.717993,0,0
United States of America,2,1946,1,other,,0.8370132,0,0
United States of America,2,1946,1,jewish,,3.870027,0,0
United States of America,2,1946,1,muslim,,0.1667512,0,0
United States of America,2,1946,1,romancatholic,,23.90109,0,0
United States of America,2,1947,1,muslim,,0.1729562,0,0
United States of America,2,1947,1,other,,1.067093,0,0
United States of America,2,1947,1,orthodox,,2.678115,0,0
United States of America,2,1947,1,protestant,,66.27444,0,0
United States of America,2,1947,1,nonreligious,,2.090627,0,0
United States of America,2,1947,1,romancatholic,,23.90245,0,0
United States of America,2,1947,1,jewish,,3.814314,0,0
United States of America,2,1948,1,other,,1.293732,0,0
United States of America,2,1948,1,orthodox,,2.638807,0,0
United States of America,2,1948,1,protestant,69,66.05935,0,0
United States of America,2,1948,1,orthodox,,2.638807,0,0
United States of America,2,1948,1,other,,1.293732,0,0
United States of America,2,1948,1,muslim,,0.1793915,0,0
United States of America,2,1948,1,protestant,69,66.05935,0,0
United States of America,2,1948,1,romancatholic,22,23.90381,0,0
United States of America,2,1948,1,muslim,,0.1793915,0,0
United States of America,2,1948,1,nonreligious,2,2.16554,0,0
United States of America,2,1948,1,romancatholic,22,23.90381,0,0
United States of America,2,1948,1,nonreligious,,2.16554,0,0
United States of America,2,1948,1,jewish,,3.759373,0,0
United States of America,2,1948,1,jewish,,3.759373,0,0
United States of America,2,1949,1,orthodox,,2.60006,0,0
United States of America,2,1949,1,jewish,,3.705192,0,0
United States of America,2,1949,1,muslim,,0.1860659,0,0
United States of America,2,1949,1,nonreligious,,2.243075,0,0
United States of America,2,1949,1,romancatholic,,23.90517,0,0
United States of America,2,1949,1,other,,1.516853,0,0
United States of America,2,1949,1,protestant,,65.84359,0,0
United States of America,2,1950,1,orthodox,,2.561867,0,0
United States of America,2,1950,1,romancatholic,,23.90652,0,0
United States of America,2,1950,1,nonreligious,,2.323321,0,0
United States of America,2,1950,1,muslim,0.13,0.1929882,0,0
United States of America,2,1950,1,other,,1.736374,0,0
United States of America,2,1950,1,jewish,3.12,3.651762,0,0
